,Say,g1,g2,g3,g4,g5,timestamp
0,OO,-16.16117286682129,-14.549449920654297,-14.666666984558105,-16.71794891357422,-17.21611785888672,1576047584.4318361
1,AR,-8.952381134033203,-13.435897827148438,-11.64834976196289,-12.029304504394531,-20.380952835083008,1575905258.6892729
2,AR,-7.721611499786377,-5.34798526763916,-6.578754425048828,-12.175822257995605,-6.813185214996338,1576056423.37689
3,EE,-19.53113555908203,-8.630036354064941,-6.7838826179504395,-13.465201377868652,-17.245420455932617,1575904046.727992
4,AR,-14.959707260131836,-6.8424906730651855,-7.545787334442139,-9.098898887634277,-11.531134605407715,1575905783.831033
5,AR,-14.725274085998535,-13.14285659790039,-11.941391944885254,-14.60805892944336,-21.347986221313477,1576053294.673733
6,OO,0.0,-19.706958770751953,-21.875457763671875,-23.516483306884766,-23.428569793701172,1576052011.759655
7,AR,-11.853479385375977,1.0,1.0,1.0,-9.362635612487793,1576080451.727648
8,EU,-12.410255432128906,-13.934064865112305,-14.813185691833496,-16.16117286682129,-20.967031478881836,1576052857.052781
9,OO,-15.809523582458496,-12.61538314819336,-14.490842819213867,-5.465201377868652,-15.19413948059082,1576062455.6919699
10,AR,-17.33333396911621,-7.194139003753662,-8.395602226257324,-11.999998092651367,-6.227106094360352,1575903385.3728929
11,EE,-16.33699607849121,-12.879119873046875,-16.659339904785156,-14.373625755310059,-11.706958770751953,1576077888.6395922
12,EE,-9.538459777832031,-14.168498039245605,-12.967032432556152,-15.956043243408203,-19.09157371520996,1576062183.696109
13,AA,-7.663003444671631,-12.322343826293945,-9.80219554901123,-13.14285659790039,-13.289377212524414,1576081699.271137
14,AR,-16.014652252197266,-15.780219078063965,-6.285712718963623,-12.087910652160645,-7.545787334442139,1576052387.3523932
15,EE,-16.747251510620117,-7.311355113983154,0.0,-9.216116905212402,-16.190475463867188,1576055921.4117188
16,OO,-12.556777000427246,-18.27106285095215,-17.21611785888672,-21.318679809570312,-19.912086486816406,1576033843.126951
17,EE,-12.820512771606445,-15.223443031311035,-12.029304504394531,-8.043953895568848,-22.959707260131836,1576051521.4492378
18,EE,-11.150182723999023,-7.399267196655273,-4.351646423339844,-13.787546157836914,-7.428569793701172,1576057483.6164331
19,OO,-8.80586051940918,-5.582415580749512,-2.9450531005859375,0.0,0.0,1575906406.874658
20,EU,-15.047618865966797,-4.761904716491699,-19.853479385375977,-4.615382671356201,-19.912086486816406,1575907465.532868
21,OO,-11.062271118164062,-14.168498039245605,-12.967032432556152,-15.956043243408203,-17.94871711730957,1576062196.496553
22,OO,-2.65201473236084,-2.065932273864746,-8.278388023376465,-9.890108108520508,-10.124541282653809,1575906065.210194
23,AR,-14.959707260131836,-14.549449920654297,-13.465201377868652,-17.157508850097656,-14.46153736114502,1576047515.732297
24,EU,-12.351646423339844,-7.399267196655273,-2.710622787475586,-3.5311355590820312,-13.435897827148438,1576057200.182152
25,AA,-20.849817276000977,-13.289377212524414,-16.89377212524414,-14.40293025970459,-14.69597053527832,1575905124.625349
26,EE,-15.047618865966797,-4.761904716491699,-19.853479385375977,-4.615382671356201,-19.912086486816406,1575907451.964347
27,AR,-21.72893714904785,-21.55311393737793,-19.619047164916992,-24.0,-24.0,1575906867.980387
28,EE,-16.571428298950195,-10.388277053833008,-11.589743614196777,-14.227106094360352,-12.087910652160645,1575903437.662333
29,AA,-2.4175806045532227,-0.3076923191547394,-3.267399311065674,-9.94871711730957,-17.040292739868164,1576078354.9612598
30,OO,-9.479853630065918,0.0,1.0,-6.520146369934082,-6.578754425048828,1576054924.7463732
31,AR,-5.084249019622803,-4.029304027557373,1.0,1.0,1.0,1576050756.292397
32,EU,-12.380952835083008,-8.600732803344727,-10.681317329406738,-10.241756439208984,-10.153844833374023,1576051290.022399
33,AR,-13.2600736618042,-14.813185691833496,-3.999998092651367,-13.787546157836914,-10.35897445678711,1576057446.6795058
34,EE,-5.787545680999756,0.0,0.0,0.0,0.0,1575905378.521338
35,AA,-10.44688606262207,-13.435897827148438,-11.64834976196289,-12.029304504394531,-20.380952835083008,1575905282.4259892
36,EE,-2.769228935241699,-7.926739692687988,-4.527470588684082,-5.963369846343994,-11.032965660095215,1576050550.604712
37,EE,-15.047618865966797,-10.974358558654785,-11.706958770751953,-16.043954849243164,-7.018314838409424,1576056456.846339
38,EU,0.0,-7.545787334442139,-1.274725317955017,-5.846151828765869,-3.443223476409912,1576048711.531424
39,EE,-12.410255432128906,-13.934064865112305,-14.813185691833496,-16.16117286682129,-20.967031478881836,1576052838.40182
40,EE,-5.72893762588501,-10.124541282653809,-7.926739692687988,-7.985347747802734,-12.732601165771484,1576079301.4311829
41,EE,-8.043953895568848,0.0,-8.161171913146973,-12.70329475402832,-17.743589401245117,1575904894.380965
42,AR,-8.043953895568848,0.0,-8.161171913146973,-12.70329475402832,-17.743589401245117,1575904885.462405
43,EE,-12.380952835083008,-8.600732803344727,-10.681317329406738,-10.241756439208984,-10.153844833374023,1576051282.3715339
44,EU,-15.809523582458496,-12.61538314819336,-14.490842819213867,-5.465201377868652,-15.19413948059082,1576062440.887358
45,OO,-14.959707260131836,-6.8424906730651855,-7.545787334442139,-9.098898887634277,-7.340657711029053,1575905840.213597
46,EE,0.0,-7.545787334442139,-1.274725317955017,-5.846151828765869,-3.443223476409912,1576048697.7463598
47,AR,-17.919414520263672,-6.080585956573486,-12.498167991638184,-11.472525596618652,-18.5054931640625,1575906519.720305
48,AR,-6.256410121917725,-6.813185214996338,-5.084249019622803,-10.5054931640625,-3.5604376792907715,1575907856.194562
49,EU,0.0,-9.30402946472168,-13.054944038391113,-6.578754425048828,0.0,1575903888.56404
50,EE,-0.16117216646671295,-4.761904716491699,-2.710622787475586,-3.0915751457214355,-8.51282024383545,1576046844.102304
51,AA,-22.813186645507812,-18.183149337768555,-22.05128288269043,-23.72161102294922,-22.959707260131836,1575906622.831656
52,OO,-15.047618865966797,-8.336996078491211,-19.853479385375977,-18.065933227539062,-17.39194107055664,1575907629.560869
53,EU,-6.197800636291504,-5.904761791229248,-9.186811447143555,-4.2930402755737305,-6.256410121917725,1576079337.468917
54,EU,-8.043953895568848,0.0,-8.161171913146973,-12.70329475402832,-17.743589401245117,1575904900.265291
55,OO,-3.6776556968688965,0.0,-8.161171913146973,-12.70329475402832,-17.743589401245117,1575904916.950639
56,EU,-9.538459777832031,-14.168498039245605,-12.967032432556152,-15.956043243408203,-19.09157371520996,1576062185.44521
57,OO,-24.0,-24.0,-24.0,0.0,-24.0,1575906657.5369282
58,AR,0.0,0.0,0.0,0.0,0.0,1575905370.101815
59,AR,0.0,-4.9084248542785645,-12.849817276000977,-15.897436141967773,-15.633699417114258,1576051910.496059
60,AA,-6.256410121917725,-6.813185214996338,-5.084249019622803,-15.985347747802734,-6.227106094360352,1575907876.646868
61,AA,-15.047618865966797,-4.761904716491699,-19.853479385375977,-18.065933227539062,-17.39194107055664,1575907584.6134539
62,EU,-10.945053100585938,-7.838827610015869,-8.043953895568848,-7.223443031311035,-3.0036630630493164,1575908131.7585258
63,AA,-9.538459777832031,-14.168498039245605,-12.967032432556152,-15.956043243408203,-19.09157371520996,1576062188.348249
64,AR,-21.377288818359375,-10.065932273864746,-5.172161102294922,-12.820512771606445,-16.21977996826172,1576053583.490154
65,AA,-11.150182723999023,-9.186811447143555,-2.769228935241699,-13.787546157836914,-7.428569793701172,1576057496.8505502
66,EE,-22.754579544067383,-20.117216110229492,-15.223443031311035,-19.208789825439453,-21.172161102294922,1576078743.05575
