,Frequency,Power,dB,dB compare to mouth
0,27,99.78990180522639,-0.018268094524884083,-0.009032697046670207
1,55,99.57852265443799,-0.03668642399183079,-0.018098151222603293
2,110,99.15505800606996,-0.07370254130719293,-0.03627279722116791
3,220,98.30913340051396,-0.14812264413431797,-0.07271551453914951
4,440,96.62979100081238,-0.29777919577860057,-0.1457829708960757
5,880,93.33916898882627,-0.5987214003165351,-0.2921932070677522
6,1760,87.06145941441709,-1.2034811404674746,-0.5850545365752547
7,3520,75.71466790813483,-2.416399563370288,-1.1684648329781624
8,7040,57.29424082698346,-4.837780615718656,-2.320198690895621
9,14080,33.02865074104079,-9.62218334766089,-4.548859317472715
